misura,data,latitudine,longitudine,altezza,angolo_sole,al_sole,mag_x,mag_y,mag_z
0,2020-04-11 04:30:10,-31.346194444444443,23.793805555555558,432304.875,-2.1382250840617534,False,-5.726174354553223,-0.969750702381134,7.8908119201660165
1,2020-04-11 04:30:11,-31.301916666666667,23.844416666666664,432285.8125,-2.101172801918315,False,-10.442575454711914,-1.821763277053833,13.973464965820312
2,2020-04-11 04:30:12,-31.257638888888888,23.894944444444445,432266.71875,-2.064423822862708,False,-13.65910530090332,-2.5233986377716064,19.05461883544922
3,2020-04-11 04:30:13,-31.213305555555554,23.945444444444444,432247.625,-2.027931402787799,False,-16.846288681030273,-3.0247297286987305,23.01030158996582
4,2020-04-11 04:30:14,-31.168972222222223,23.99588888888889,432228.53125,-1.991669074710555,False,-19.414033889770508,-3.4653005599975586,26.27703285217285
5,2020-04-11 04:30:15,-31.124583333333334,24.046305555555556,432209.4375,-1.955564481314456,False,-21.30592918395996,-3.88161826133728,28.734546661376953
6,2020-04-11 04:30:16,-31.080194444444444,24.096638888888886,432190.3125,-1.91961185962739,False,-22.937856674194336,-4.027164936065674,30.75938606262207
7,2020-04-11 04:30:17,-31.035777777777778,24.146944444444443,432171.21875,-1.883778125920564,False,-24.13207054138184,-4.258603096008302,32.595443725585945
8,2020-04-11 04:30:18,-30.991333333333333,24.197166666666668,432152.09375,-1.8480304099085985,False,-25.407625198364254,-4.584978103637695,33.85651397705078
9,2020-04-11 04:30:19,-30.94688888888889,24.24736111111111,432133.0,-1.81235739909068,False,-26.050844192504886,-4.69246768951416,34.449913024902344
10,2020-04-11 04:30:20,-30.902388888888886,24.297500000000003,432113.875,-1.7766997561983937,False,-26.728763580322266,-4.877724647521973,34.98834991455078
11,2020-04-11 04:30:21,-30.85788888888889,24.34761111111111,432094.75,-1.7410675130720832,False,-27.29924774169922,-4.9586615562438965,35.66469192504883
12,2020-04-11 04:30:22,-30.81336111111111,24.39763888888889,432075.625,-1.7054316414077764,False,-27.72514343261719,-5.079861640930176,36.09463882446289
13,2020-04-11 04:30:23,-30.768805555555556,24.44763888888889,432056.5,-1.6697703699774935,False,-28.160314559936523,-4.9965553283691415,36.90058135986328
14,2020-04-11 04:30:25,-30.67961111111111,24.547472222222225,432018.25,-1.5983099426730585,False,-28.22260093688965,-5.237093448638916,37.13335418701172
15,2020-04-11 04:30:26,-30.634999999999998,24.597305555555554,431999.09375,-1.562505237270205,False,-28.5277042388916,-5.302243709564209,37.450382232666016
16,2020-04-11 04:30:27,-30.59036111111111,24.647111111111112,431979.96875,-1.5265991462468596,False,-28.68228912353516,-5.282694339752197,37.7974853515625
17,2020-04-11 04:30:28,-30.545694444444447,24.696833333333334,431960.8125,-1.4905978594619569,False,-28.73237419128418,-5.216904163360597,37.91491317749024
18,2020-04-11 04:30:29,-30.501,24.74652777777778,431941.65625,-1.4544712813944671,False,-28.81769943237305,-5.135617256164551,38.06657409667969
19,2020-04-11 04:30:30,-30.45627777777778,24.796166666666668,431922.53125,-1.4182500411739491,False,-28.98235893249512,-5.181895732879639,38.1873893737793
20,2020-04-11 04:30:31,-30.411555555555555,24.845777777777776,431903.375,-1.3819021222886685,False,-29.02052497863769,-5.187036037445068,38.467262268066406
21,2020-04-11 04:30:32,-30.366805555555555,24.895305555555556,431884.21875,-1.3454164256812242,False,-29.177343368530273,-5.3919782638549805,38.62282180786133
22,2020-04-11 04:30:33,-30.322027777777777,24.944805555555554,431865.0625,-1.308762962552291,False,-29.250642776489254,-5.4045448303222665,38.75161743164063
23,2020-04-11 04:30:34,-30.27722222222222,24.99425,431845.90625,-1.2719658520073762,False,-29.265390396118164,-5.408767223358153,38.58755111694336
24,2020-04-11 04:30:35,-30.232388888888888,25.043666666666667,431826.71875,-1.235007271521614,False,-29.34692001342773,-5.276219844818115,38.56504821777344
25,2020-04-11 04:30:36,-30.187555555555555,25.093,431807.5625,-1.197881137957775,False,-29.458423614501953,-5.215073108673097,38.70070266723633
26,2020-04-11 04:30:37,-30.142694444444444,25.142305555555556,431788.40625,-1.1605803009615718,False,-29.57273292541504,-5.345421314239502,38.58310317993164
27,2020-04-11 04:30:38,-30.097805555555553,25.191555555555556,431769.21875,-1.12310006477795,False,-29.781293869018555,-5.346735000610352,38.54510116577149
28,2020-04-11 04:30:40,-30.00797222222222,25.289916666666667,431730.875,-1.047580157229,False,-29.732364654541016,-5.3455772399902335,38.60860824584961
29,2020-04-11 04:30:41,-29.963,25.339027777777776,431711.71875,-1.0095321615706208,False,-29.69849395751953,-5.31631326675415,38.63252639770508
30,2020-04-11 04:30:42,-29.91802777777778,25.388083333333334,431692.53125,-0.9712885450255442,False,-29.69995880126953,-5.292675971984863,38.71209335327149
31,2020-04-11 04:30:43,-29.873055555555556,25.437083333333334,431673.34375,-0.9328441849518928,False,-29.66059875488281,-5.05454683303833,38.76818084716797
32,2020-04-11 04:30:44,-29.828027777777777,25.486055555555556,431654.15625,-0.8941982275760201,False,-29.83880043029785,-5.198660373687744,38.66324996948242
33,2020-04-11 04:30:45,-29.782999999999998,25.534972222222223,431635.0,-0.8553477380510174,False,-29.8099308013916,-5.435446739196777,38.79119491577149
34,2020-04-11 04:30:46,-29.737916666666667,25.58383333333333,431615.8125,-0.8162909554687391,False,-29.76674652099609,-5.4446983337402335,38.85067367553711
35,2020-04-11 04:30:47,-29.69286111111111,25.632666666666665,431596.625,-0.7770248382605704,False,-29.77497291564941,-5.377948760986328,38.812255859375
36,2020-04-11 04:30:48,-29.64775,25.681416666666667,431577.4375,-0.7375502402001578,False,-29.75322151184082,-5.2634620666503915,38.93917465209961
37,2020-04-11 04:30:49,-29.602611111111113,25.730138888888888,431558.25,-0.6978868514422177,False,-29.77927398681641,-5.294685363769531,38.86863327026367
38,2020-04-11 04:30:50,-29.557472222222223,25.77883333333333,431539.03125,-0.6579875009927949,False,-29.86686706542969,-5.144603729248047,39.00747299194336
39,2020-04-11 04:30:51,-29.512305555555557,25.827472222222223,431519.84375,-0.6178791894434519,False,-29.84086608886719,-5.14890193939209,38.79389190673828
40,2020-04-11 04:30:52,-29.467138888888886,25.876055555555556,431500.65625,-0.5775594621949559,False,-29.72930908203125,-5.086156368255615,38.66267776489258
41,2020-04-11 04:30:53,-29.421916666666668,25.924583333333334,431481.46875,-0.5370294398252177,False,-29.75478172302246,-4.718869686126709,38.61006546020508
42,2020-04-11 04:30:55,-29.331444444444443,26.0215,431443.0625,-0.4553412844863643,False,-29.641128540039066,-5.593945026397705,38.700279235839844
43,2020-04-11 04:30:56,-29.28616666666667,26.069916666666668,431423.875,-0.4141858996011731,False,-29.5771484375,-5.58922004699707,38.7857666015625
44,2020-04-11 04:30:57,-29.24088888888889,26.11825,431404.6875,-0.3728218471007528,False,-29.55235481262207,-5.522816181182861,38.77380752563477
45,2020-04-11 04:30:58,-29.195583333333335,26.166555555555554,431385.46875,-0.33125336917290804,False,-29.491634368896484,-5.509424686431885,38.66479110717773
46,2020-04-11 04:30:59,-29.15025,26.214805555555554,431366.28125,-0.28948091938488857,False,-29.624122619628906,-5.400262355804443,38.57229232788086
47,2020-04-11 04:31:00,-29.10488888888889,26.26302777777778,431347.0625,-0.2475062319644132,False,-29.59454345703125,-5.2585177421569815,38.4891471862793
48,2020-04-11 04:31:01,-29.059527777777777,26.311194444444446,431327.875,-0.20533246854201576,False,-29.495500564575195,-5.451295852661133,38.6671257019043
49,2020-04-11 04:31:02,-29.01411111111111,26.359305555555558,431308.65625,-0.1629593489732186,False,-29.49327850341797,-5.417369365692139,38.46974182128906
50,2020-04-11 04:31:03,-28.96869444444444,26.40738888888889,431289.46875,-0.12038907439320345,False,-29.53407287597656,-5.311181545257568,38.46202850341797
51,2020-04-11 04:31:04,-28.92327777777778,26.455416666666665,431270.25,-0.07762638057766429,False,-29.495792388916016,-5.159480571746826,38.40624237060547
52,2020-04-11 04:31:05,-28.877805555555558,26.50338888888889,431251.0625,-0.03467254485201728,False,-29.43642807006836,-4.937449932098389,38.474281311035156
53,2020-04-11 04:31:06,-28.832333333333334,26.551333333333336,431231.84375,0.008473661750880749,True,-29.40919303894043,-4.9787774085998535,38.35643005371094
54,2020-04-11 04:31:07,-28.78686111111111,26.59922222222222,431212.65625,0.051801452001112615,True,-29.46067237854004,-4.9038262367248535,38.30229187011719
55,2020-04-11 04:31:08,-28.741333333333333,26.647055555555553,431193.4375,0.09531425600100317,True,-29.32666015625,-5.1165771484375,38.151329040527344
56,2020-04-11 04:31:10,-28.65025,26.742611111111113,431155.03125,0.18288098306973594,True,-29.288982391357425,-4.953173637390137,37.998146057128906
57,2020-04-11 04:31:11,-28.604666666666667,26.790333333333336,431135.84375,0.2269298335225002,True,-29.39918327331543,-4.995291709899902,37.93306350708008
58,2020-04-11 04:31:12,-28.559083333333334,26.837999999999997,431116.625,0.2711501323956024,True,-29.37613296508789,-5.0818824768066415,38.06110763549805
59,2020-04-11 04:31:13,-28.513472222222223,26.88561111111111,431097.4375,0.31554011878089705,True,-29.42691802978516,-5.104743957519531,38.06026840209961
